name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Live Your Life,3jlbL2OTD5YmIunYzgQTAN,0.68,0.687,9,-6.162,0,0.0709,0.0161,0.0,0.261,0.467,150.053,3
Whatever You Like,1IAzD1muglOxOcPbUHs70R,0.785,0.479,7,-4.956,0,0.044,0.083,0.0,0.0937,0.364,75.889,3
Shawty Is Da Shit,5RC9YDHON0nXKmcQrL6WV6,0.653,0.604,8,-6.017,1,0.0278,0.0292,0.0,0.097,0.101,118.016,5
Apologize,6ucR4KfvsBFWCMVFDvyKKl,0.731,0.807,3,-6.492,0,0.1,0.181,0.751,0.319,0.765,114.759,2
The Way I Are,2bLqfJjuC5syrsgDsZfGmn,0.755,0.901,9,-3.152,1,0.0893,0.0451,0.0373,0.363,0.959,145.042,5
That's Not My Name,0GrrLYCH8u81aENhC8FBF4,0.467,0.604,2,-8.585,1,0.362,0.00754,0.0,0.0479,0.64,139.44,4
Female$ Welcomed,0vB2Rfcz6xC5FsCpBqrZZI,0.794,0.777,1,-3.696,0,0.0813,0.0982,0.0,0.202,0.706,160.022,3
Walk It Out,7oyNjeXQ57dASDnqg8wbbl,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,5
Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX,0.845,0.467,1,-7.674,1,0.138,0.0586,0.0,0.0694,0.702,138.007,5
Confessions Part II,7wBThXx7BGZHJJ3aN3OPvv,0.796,0.477,1,-7.161,1,0.108,0.314,0.0,0.12,0.685,119.928,5
Burn,7z3N2W7Xz1t2G2sAO8wFVH,0.87,0.464,4,-8.337,1,0.178,0.205,0.0,0.0902,0.457,112.974,5
I Don't Mind (feat. Juicy J),7aXuop4Qambx5Oi3ynsKQr,0.656,0.725,1,-4.067,1,0.0596,0.0262,0.0,0.0712,0.403,153.873,6
Lemme See (feat. Rick Ross),4MevEW6tsWrpmzPKaqK0Uw,0.573,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.346,140.012,6
Love in This Club (feat. Young Jeezy),5j0McHPthKpOXRr3fBq8M0,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14e-05,0.36,0.326,129.998,3
OMG (feat. will.i.am),1bM50INir8voAkVoKuvEUI,0.834,0.628,7,-6.616,1,0.0626,0.000879,0.000192,0.292,0.766,139.958,5
Lil Freak (feat. Nicki Minaj),2sdarYql1R0GAdFsdb4LDM,0.56,0.825,11,-3.862,1,0.0379,0.323,0.0,0.161,0.268,94.931,5
A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,0.76,0.595,1,-6.366,1,0.0391,0.00544,0.0,0.241,0.361,131.497,5
No Hands (feat. Roscoe Dash & Wale),03tqyYWC9Um2ZqU0ZN849H,0.816,0.578,10,-4.536,0,0.0986,0.0136,1.2e-05,0.0412,0.302,177.959,3
Ass Drop,39qglQ8yU7fI8tJVLrQuh2,0.653,0.711,9,-6.454,1,0.0623,0.109,0.0,0.443,0.769,160.048,1
No Sleep,2kzRSiyignH8yzPTrWvyPo,0.74,0.723,11,-4.523,0,0.0716,0.443,0.0,0.149,0.919,82.018,3
Fly Solo,6qa6a2fsCbLMkSIoZEfvTJ,0.717,0.862,8,-4.736,1,0.054,0.00689,0.0,0.321,0.52,130.021,5
We Dem Boyz,3Lt558KSXrSTLBr3EJ3BAe,0.486,0.904,6,-3.751,0,0.0638,3.43e-05,2.83e-05,0.0947,0.786,173.734,6
Ocean Avenue,23oxJmDc1V9uLUSmN2LIvx,0.521,0.625,1,-7.47,1,0.067,0.0301,0.0,0.121,0.136,101.019,5
Get Low,0r2Bul2NuCViraT2zX1l5j,0.884,0.697,11,-6.022,1,0.128,0.0509,0.0,0.094,0.322,101.965,5
Salt Shaker,4Kd0FzFpOgIGxlBl4HXuFn,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005,4
BedRock,3iL2l5gUqyPS6vDwJFgJTR,0.835,0.757,8,-5.029,0,0.23,0.00647,0.0,0.29,0.626,82.038,4
Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003,3
It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,0.215,0.0952,5,-17.769,1,0.0358,0.853,0.00426,0.261,0.16,172.692,0
Amar Pelos Dois,3UjSOJ00E1eLMcayBm827Q,0.408,0.506,0,-8.24,0,0.0355,0.419,0.0,0.108,0.213,125.576,0
Beautiful Mess,54ibWn7vBabFt6srLwccav,0.41,0.372,5,-8.181,1,0.0419,0.397,0.0,0.325,0.253,128.437,0
Never Give up on You,67bhFQT17Kh4Z7GkyQHGYG,0.715,0.543,9,-4.972,1,0.0334,0.112,0.0,0.228,0.538,90.007,5
Running On Air,1WpQu8U3quBeGnhpZn0r7N,0.649,0.665,0,-6.382,0,0.0405,0.289,0.0,0.0693,0.464,125.03,3
I Feel Alive,0uvCOD3I7rr86UEQfXXijF,0.441,0.682,2,-5.716,1,0.0513,0.0569,0.00154,0.367,0.194,119.911,6
Flashlight,26D88ZaVe08FKhUrdttd3t,0.42,0.654,0,-5.825,1,0.0492,0.209,8.18e-06,0.169,0.302,137.958,6
MY FRIEND,184cjXwukXedpuWm4Xl6X7,0.656,0.768,7,-4.117,1,0.0512,0.0133,4.94e-06,0.106,0.881,169.94,5
Do It for Your Lover - Eurovision 2017,1wwcsua0ofpGmmPaTRg1SX,0.618,0.669,11,-5.053,0,0.0933,0.482,0.0,0.0939,0.472,106.426,3
Requiem,2cVoJmMLx0uhezvXOIvogS,0.396,0.75,10,-4.898,0,0.13,0.0423,2.58e-06,0.492,0.65,181.758,1
Where I Am,5jlAXQ3tNhVFR151OGDq6b,0.463,0.966,4,-4.427,1,0.0784,0.0231,0.0,0.399,0.431,155.034,6
Historyja Majho žyccia (Eurovision 2017),7GNLUFoTE60RpQ6HsHBeY6,0.546,0.729,9,-6.303,0,0.219,0.581,0.0,0.477,0.452,108.212,1
Origo - Eurovision Version,0Skpofj44N2m60sa74Aufz,0.408,0.728,6,-5.186,1,0.0775,0.225,0.0,0.141,0.51,128.251,6
Lights and Shadows,6xT4IlszcN5bCKlBydmJA8,0.812,0.699,3,-5.882,1,0.0473,0.376,0.0,0.127,0.52,124.014,5
Perfect Life,04yr4MXjMrQZlZlcdqFtgN,0.631,0.691,2,-5.383,0,0.0372,0.0107,0.0,0.184,0.291,107.89,3
Paper,6g1v2Cw2gejBa4qRQM3QKm,0.569,0.903,1,-4.825,0,0.0786,0.00255,0.00128,0.121,0.315,101.952,3
Time,7xzXyOnErZDcgsGlchy4ec,0.706,0.644,8,-7.045,0,0.0372,0.0136,3.2e-05,0.187,0.357,126.02,3
Line,3ETIdeZcAiPQkHS1h0lyiY,0.525,0.649,4,-6.579,0,0.0403,0.206,0.0,0.0932,0.418,135.792,3
In Too Deep,5uzjoEMnrrraUxiQPH3ELe,0.606,0.562,10,-6.496,1,0.0927,0.109,0.0,0.106,0.285,86.992,5
Apollo - Eurovision Version,1YySksBo8O9tdgBcdPIIWw,0.656,0.791,1,-4.601,1,0.0583,0.0408,0.000705,0.119,0.302,100.97,5
Rain Of Revolution,7aB07bGdYvtMNHPRBQiInX,0.278,0.326,2,-10.712,1,0.0298,0.848,0.0752,0.139,0.125,80.746,0
Blackbird,0lrQglIvGuurQrFMnj8n5V,0.44,0.481,5,-7.199,0,0.0335,0.626,0.0,0.108,0.192,163.876,0
Dying To Try,0sfa6ySA9tbYymLdAxXqWv,0.422,0.771,0,-4.571,1,0.0432,0.133,0.0,0.289,0.304,84.88,5
World,1Na9VFGQtiHJ3DVtc25eDG,0.271,0.67,7,-5.738,0,0.0553,0.153,0.0,0.0984,0.191,132.099,6
Keep The Faith,5iPCSv3WAGikuSGzPkN6u2,0.641,0.759,1,-7.847,0,0.0422,0.00255,3.91e-05,0.326,0.403,120.035,3
Dance Alone,2oim5PeJo33M01bXAUVKLu,0.711,0.94,7,-4.061,0,0.0977,0.082,0.0,0.123,0.568,140.02,3
Spirit of the Night - ESC Version,4tUJtWQ0vjYR26MMoehEDk,0.421,0.547,2,-5.982,1,0.0406,0.3,1.48e-05,0.518,0.135,134.901,1
On My Way,7pNrnIyhXCDjkwIQEeo9Jc,0.362,0.423,7,-6.082,1,0.0374,0.435,0.0,0.312,0.161,86.347,0
My Turn,3Be2w1wxlT4q7bOczrJ7hk,0.614,0.823,2,-4.345,0,0.0297,0.00719,1.79e-06,0.352,0.286,110.973,3
Verona,4Ub7q7iEDytCayXHgnpzeT,0.521,0.478,1,-5.741,1,0.0273,0.661,0.0,0.0873,0.19,75.997,0
Breathlessly,2gVByOGeervnFoKHx6FjTz,0.609,0.885,11,-2.943,0,0.0527,0.0316,0.0,0.283,0.85,121.066,3
Big Time Rush,24NhvW9LgYFHCXtySyQuXY,0.811,0.935,11,-4.595,0,0.0407,0.0134,0.411,0.0244,0.968,138.479,3
"Boom, Boom, Boom, Boom!!",2Ld2LehpgQNREMxl9LlIzm,0.667,0.954,2,-3.462,1,0.0817,0.0296,0.0,0.331,0.807,114.03,5
Burnin' Up,2VEsmoek0sol9MnJFyoG9e,0.802,0.966,0,-3.933,1,0.0424,0.18,0.0,0.0611,0.684,130.099,5
Dragostea din tei,52Zr0sinhWTCRrQhRRY4EP,0.703,0.867,6,-4.292,1,0.0453,0.107,0.0,0.119,0.546,128.008,5
The Fox (What Does the Fox Say?),5HOpkTTVcmZHnthgyxrIL8,0.829,0.692,10,-7.383,0,0.102,0.00334,2.17e-06,0.0456,0.877,101.132,3
The Fresh Prince of Bel-Air,3FltYEzrDu20qIRjj4SNvD,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,4
Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,3
Hey Ya!,2PpruBYCo4H7WOBJ7Q2EwM,0.928,0.892,9,-7.782,0,0.0388,0.0527,1.47e-05,0.0911,0.989,128.075,3
I Am Your Gummy Bear (The Gummy Bear Song),6nFYXpBgrNcZjbtNEuc6yR,0.549,0.981,11,-3.558,0,0.059,0.0178,1.8e-06,0.438,0.873,82.331,3
I'm A Believer,0C9jZPUv4SuaXkuEQw6L40,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,3
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,0.572,0.89,6,-4.139,0,0.039,0.00082,0.00937,0.564,0.765,158.038,1
Potential Breakup Song,11dxtPJKR4E0wlSr0A0t47,0.584,0.696,7,-3.836,1,0.0694,0.000728,0.0,0.184,0.699,137.112,5
S.O.S.,6sDP4912wjwB7BJhbSnjS1,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021,4
Sexy And I Know It,2EZ2KXLqs9zdRVVMMz1IsH,0.773,0.611,1,-7.941,0,0.286,0.0918,0.0,0.057,0.681,95.002,4
Thrift Shop,2xRHPufWUwBNhXCTNoEHYG,0.833,0.806,10,-4.858,1,0.266,0.17,0.0,0.497,0.914,139.924,4
Watch Me (Whip / Nae Nae),2AeUzw7vBT5aPZXJNrzoPR,0.785,0.931,8,-4.813,1,0.0465,0.0148,0.637,0.0459,0.969,135.986,2
We like to Party! (The Vengabus) Six Flags,77j9HOrxUpWcjwra9jgvio,0.902,0.805,6,-5.003,1,0.0468,0.0748,0.0823,0.0914,0.745,124.985,5
We No Speak Americano (Edit),37dYAkMa4lzRCH6kDbMT1L,0.552,0.98,9,-4.676,0,0.254,0.00159,0.00552,0.438,0.668,162.961,1
Whip My Hair,4Dio1t8RHzLv1nfPJTSZyP,0.708,0.298,10,-13.671,0,0.0318,0.875,7.05e-06,0.17,0.351,116.048,0
Tonight I Feel Like Kafka,0un6V0wfo3eTYOfYeMF8cC,0.346,0.0392,11,-19.574,1,0.044,0.928,2.36e-06,0.101,0.127,73.573,0
Sylvia Plath,0Vof9g11F4cbctYIR5UXTk,0.475,0.989,10,-4.053,1,0.0526,0.0191,8.11e-05,0.142,0.747,160.511,6
I'm Writing A Novel - Spotify Sessions Curated by Jim Eno,1QIOQ3XARduygQqRIif0f7,0.692,0.717,0,-4.226,1,0.0498,0.111,0.00123,0.044,0.973,119.902,5
Oxford Comma,1CZw0Lymzi2Lvy1XZ6rXh5,0.481,0.69,7,-4.32,1,0.0319,0.0399,0.000101,0.0949,0.38,129.881,6
Harper Lee,3cHRB3KfcjNb7miveP9b6P,0.481,0.392,1,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572,0
Wuthering Heights,5YSI1311X8t31PBjkBG4CZ,0.371,0.222,9,-9.465,0,0.037,0.684,0.000123,0.124,0.13,115.863,0
Harold Bloom,3kRT52qmdu1Av0Ce8V7Auz,0.464,0.73,7,-5.38,1,0.0319,0.606,0.27,0.185,0.74,151.377,6
Walt Whitman,6nQ5z2EDrltb8MZs3HhfgL,0.505,0.77,0,-7.597,1,0.0313,0.0896,8.99e-06,0.079,0.844,148.399,5
Wrapped Up In Books,4gEX8llkEIABEmqoTLHJom,0.665,0.797,10,-9.172,1,0.0419,0.124,0.0173,0.0958,0.717,143.176,5
Postdoc Blues,5l1AMUJEA43GYqxpfTyhoT,0.64,0.746,1,-9.099,0,0.0335,0.308,0.000328,0.152,0.693,102.232,3
Everyday I Write The Book,36F8DzJ1IP1m8C1h0CpIaz,0.247,0.216,8,-8.506,0,0.0329,0.931,0.00228,0.129,0.0751,67.426,0
Great American Novel,4ry2Jh7zMFRDzqOHil8prF,0.485,0.262,7,-13.286,1,0.0263,0.978,5.99e-05,0.117,0.332,98.536,0
The Book of Love,62ZYyXIsHVX5xVUj80arVu,0.372,0.43,10,-8.667,1,0.0313,0.0728,0.0,0.265,0.308,170.266,6
Jack Kerouac,5PNtTv39XP3MZsUwxzSv4S,0.745,0.445,0,-16.596,1,0.0726,0.452,0.217,0.106,0.0557,120.071,0
"Read, Eat, Sleep",0vcIZdptFfPNYZSLCUDJ9j,0.233,0.404,6,-9.747,0,0.0361,0.189,1.71e-05,0.34,0.277,79.202,0
White Blank Page,5ZK7JYtiFIDx4LqxwuPuhu,0.6,0.704,2,-6.069,0,0.0373,0.109,2.46e-05,0.151,0.736,125.064,3
The Book I Read - 2005 Remaster,1WKEDO98nmcF1uYmMttw7B,0.574,0.657,2,-6.077,1,0.0267,0.00171,1.04e-06,0.1,0.274,125.999,5
The Fisher King Blues,4GPYWz2fZXbFQBtbU0NS6y,0.186,0.414,2,-7.485,0,0.0284,0.966,0.00223,0.118,0.101,92.667,0
Death of the Author,0pq665ddyKmVCypcvq4Qhs,0.588,0.297,4,-13.183,1,0.0298,0.908,0.000944,0.0968,0.261,116.946,0
Dear Seamus Heaney,28qRYCVGXVsm5UfheQ2DRi,0.477,0.105,7,-17.307,1,0.0443,0.966,0.788,0.128,0.302,75.343,0
Literature Lovers,141Az9zU42lOieVEbOmPUV,0.551,0.709,9,-7.029,1,0.0298,0.0146,0.849,0.0981,0.741,128.077,2
Bookshop Casanova,08w167s2ptQujxeP2zStfi,0.566,0.561,2,-8.135,0,0.0255,0.0443,0.000216,0.127,0.83,103.26,3
Open Book,3vmgOwQdZTbdT1W54eeEy0,0.413,0.127,11,-18.188,1,0.0351,0.823,0.0356,0.106,0.13,100.489,0
Books Written For Girls,1f9jTXNHEKHANrZoalrIlx,0.511,0.204,4,-14.518,1,0.0256,0.906,0.36,0.111,0.0999,77.904,0
Reading In Bed,4H73CNDBQpE9gp3YTFfC7y,0.521,0.655,9,-5.325,1,0.0297,0.162,0.0,0.117,0.293,104.913,5
The Writer,2jfo71bLqJLL1PRttzBg9N,0.447,0.775,5,-3.496,0,0.0383,0.0483,0.0,0.103,0.164,133.416,6
Mr. Writer,1D6dE2mMlGz3WN1gjKQ76E,0.67,0.403,0,-10.623,1,0.031,0.753,0.0903,0.0858,0.622,129.984,0
New Slang - 2021 Remaster,0NslHuacjxQYfUTOW3HCIV,0.573,0.967,4,-3.773,0,0.0521,0.0724,0.000524,0.151,0.168,102.01,3
Sweet Ophelia,1jPZgfC9tWFNf7iBGdrTPV,0.657,0.264,7,-12.468,1,0.0302,0.853,0.00102,0.0898,0.528,124.937,0
If I Could Write,6Rdmwrln6jrQGdRDHl246o,0.44,0.779,9,-5.855,1,0.0345,0.304,0.0,0.181,0.84,75.61,5
Walt Whitman's Niece,5H3wCJbN88o19K3inKBaMZ,0.783,0.162,9,-11.784,0,0.0538,0.85,0.892,0.0965,0.203,114.356,0
The Joy of D.H. Lawrence,77KyNPhCUXjkBaj5yQ9GY9,0.718,0.174,7,-11.153,1,0.0381,0.963,0.0,0.13,0.297,75.483,0
"Oh, Mr. Darcy",5TJRMmxQW1WbLh5ZUMfYe0,0.872,0.676,9,-5.649,0,0.101,0.143,0.00188,0.291,0.606,121.972,3
Writer's Block,1nOWgMq3nnQFCnDWRdCQgy,0.474,0.337,11,-14.667,0,0.0256,0.884,0.213,0.113,0.278,90.897,0
The River,1k3tnHRcKo5DUNdQYuYFnw,0.458,0.355,7,-13.198,1,0.0313,0.385,2.99e-05,0.413,0.393,75.728,0
All I Can Do Is Write About It,1xGkvw8sTnDujVFcMN6zvc,0.494,0.728,7,-5.187,1,0.0556,0.0917,8.31e-05,0.33,0.92,108.15,5
Denouncing November Blue (Uneasy Writer),2htLJ54OL65HB3nr9ne3fA,0.451,0.968,8,-3.779,1,0.0975,0.0196,2.85e-05,0.0936,0.611,103.466,5
Who Wrote Holden Caulfield?,6zSG7cvCJDeqDQ2jIKPrMY,0.669,0.711,8,-6.758,1,0.033,0.00217,0.0,0.466,0.544,110.01,1
Side Effects,0bGLvHd0ApdT4t0shCfpzG,0.497,0.869,9,-5.217,1,0.0568,0.000296,0.0345,0.144,0.381,116.926,6
Breathe,44UqsHkvRuW93K1Yilw5UK,0.572,0.859,7,-4.552,1,0.0272,0.0868,0.0,0.136,0.769,131.558,5
Disturbance At The Heron House - Remastered,3kL3FV7NPNfzgVeiG753r6,0.452,0.283,5,-11.871,1,0.0328,0.619,0.0715,0.103,0.0866,142.964,0
Eveline,5rbB234M0EaapxiDqOUyby,0.741,0.838,11,-7.622,0,0.0637,0.407,0.0,0.138,0.586,115.689,3
The Wild Boys,5qeLeyIWCPe1FpdJLQTUDW,0.696,0.621,7,-5.716,1,0.0793,0.00504,0.000171,0.143,0.544,98.797,5
Ulysses,5sCjd47MEpd7vkvhYukANl,0.611,0.397,9,-8.47,1,0.0266,0.43,8.89e-06,0.239,0.347,84.359,0
Romeo And Juliet,1kfrnPViuzKdNwmH21ehLg,0.407,0.957,7,-4.61,1,0.0577,0.158,0.00389,0.0961,0.708,126.797,6
Shakespeare's Sister - 2008 Remaster,5kgSQEoPMwm5uTL2FEC6xe,0.257,0.604,2,-9.047,0,0.0375,0.585,0.00013,0.127,0.816,174.913,6
Alone,6SRMqGvABCvpwlgTd5pkvE,0.3,0.849,2,-10.519,1,0.148,0.164,0.0234,0.0926,0.44,153.42,6
A Picture Of Dorian Gray,19YGRL40edzQmgxFILjVvB,0.573,0.837,5,-5.292,1,0.0338,0.0106,0.0148,0.066,0.536,112.508,5
Annabel Lee,4tXWVLyuoifdkM1ZQNwNVM,0.447,0.571,7,-11.834,1,0.0293,0.151,0.152,0.687,0.598,142.639,1
Bernice Bobs Her Hair,6WiE4w2cDI1zXr7UbN4P4E,0.301,0.273,0,-13.221,1,0.0327,0.198,0.00507,0.679,0.22,128.555,0
Calypso - Live,10kv6ITXZNukjUE1GxJu8N,0.62,0.755,5,-5.682,0,0.03,0.00564,0.282,0.124,0.501,123.858,3
Doublespeak,4oE6WttjRSXWViKaiNcz37,0.495,0.867,1,-7.623,0,0.0606,0.0266,0.000601,0.293,0.5,85.968,3
Haunted,2rjNVjIfyGCDoNIjXFsPdS,0.424,0.939,11,-7.817,0,0.0672,0.00103,0.0,0.319,0.746,144.814,3
Hey! (Rise of the Robots),4ipaeAKjSDIajzALCDfo2h,0.578,0.635,7,-6.772,1,0.032,0.625,0.537,0.102,0.779,155.78,2
Orpheo Looks Back,4ax0V6EiUOAaJcR9CFbJyo,0.606,0.497,4,-6.611,1,0.0277,0.348,0.0,0.275,0.362,130.739,5
If I Die Young,4aY0tZIaboefmkBEsjAovI,0.432,0.908,7,-4.029,1,0.094,0.0113,0.0,0.321,0.383,159.962,6
Indiana,0OA0gO2MrQSLzC8GQDOkCq,0.607,0.558,9,-6.985,1,0.0674,0.0672,1.17e-05,0.129,0.553,139.95,5
Jocasta,6rKEkAoJt8qlNgllVxX9RU,0.463,0.681,2,-8.368,0,0.0466,0.841,0.0,0.105,0.472,94.718,0
Shalott,1mCm0Tb2pLTlJ26SxqrAFY,0.493,0.946,0,-4.304,0,0.124,0.0744,4.89e-05,0.351,0.134,135.955,6
Lolita,4MDpkzAyG2X0dmtOU0ZESX,0.505,0.903,9,-4.693,0,0.0622,0.103,0.00316,0.0868,0.792,146.086,3
Love and Destroy - Live,0dHZnnxxsXLQuICY87Z3mD,0.373,0.61,11,-8.301,1,0.0321,0.541,0.0115,0.142,0.552,148.685,6
My Antonia,6yCwfs5qUdG8ySrLl2lgOh,0.458,0.948,0,-2.841,1,0.0583,0.0409,0.0281,0.485,0.719,135.334,1
Narcissist,0LkAjjrokJbccAfz5yftS1,0.635,0.634,1,-7.437,1,0.0347,0.00645,0.00432,0.129,0.413,125.556,5
The Pearl,3Gy0Ka8W0ZUUXztD8OSULd,0.363,0.528,7,-8.557,1,0.0287,0.677,0.0346,0.103,0.0926,75.26,0
Prince Caspian,255zg2kzJRA0JEOxYwMaUs,0.29,0.288,2,-16.372,1,0.0312,0.872,0.207,0.122,0.117,96.397,0
Rejoyce,2XClue0OiR8tBFuObNCvZ0,0.563,0.586,11,-10.929,1,0.0407,0.232,0.0,0.268,0.816,80.665,5
Richard Cory,669jVNlVxPmrb2kN8YFq1u,0.429,0.296,11,-17.214,1,0.0307,0.794,0.000194,0.128,0.424,100.976,0
Sahara,4AwJbrmZDMgpALafU1lgfH,0.606,0.432,6,-11.058,0,0.0246,0.743,0.0381,0.101,0.196,99.161,0
Sailing To Philadelphia,5N6GzBkdnHcaH96R6aJQHm,0.552,0.554,10,-14.569,1,0.0324,0.201,0.0855,0.377,0.774,135.712,5
The Sensual World,7EovLg8qd6it8b2eM380o3,0.501,0.715,0,-7.382,1,0.0301,0.0774,0.00603,0.0653,0.502,148.971,6
Soma,7G8hUONVhvJnkD3Ak8mNF1,0.437,0.318,6,-13.86,0,0.027,0.516,2.56e-05,0.225,0.187,134.806,0
No Poem,3FYKFB7FHN63hD3idN9kiO,0.684,0.495,8,-9.396,1,0.0308,0.0713,0.908,0.102,0.702,119.859,2
Milton At Midnight,44wtR8EBCz7wVvsOoJQEnd,0.714,0.783,0,-6.046,1,0.0264,0.0986,0.00405,0.0931,0.87,106.003,5
Adjust Glasses,2BC2xQhlUosn3xJlgGzOoh,0.604,0.345,5,-10.138,0,0.0296,0.831,0.00285,0.132,0.191,108.855,0
The Underwood Typewriter,2pzlZI4C3f1MSMg047bPI6,0.332,0.774,6,-7.799,1,0.0383,0.00432,0.204,0.174,0.525,155.247,6
When I Write My Master's Thesis,3xJRXSfUCNGAENR4J14Rjt,0.467,0.774,9,-6.569,0,0.0485,0.0616,0.289,0.108,0.0916,135.006,6
Resistance,1C2QJNTmsTxCDBuIgai8QV,0.278,0.945,4,-4.939,1,0.0793,0.00896,1.06e-06,0.295,0.481,154.67,6
Now We're Getting Somewhere,56HO1PQfdXYnXnK5tUhoHC,0.574,0.727,2,-5.649,1,0.0393,0.111,1.05e-06,0.142,0.876,110.413,5
World Where You Live,4Ha40FEs1QJu1CfQWIA0rg,0.641,0.791,2,-7.51,1,0.0275,0.112,0.0,0.291,0.879,93.987,5
Weather With You,4L6JuP0u5pYruWojuHk6ls,0.573,0.886,7,-5.206,1,0.0459,0.0914,4.41e-05,0.0718,0.682,119.827,5
Something So Strong,4ml6eCtBlmYVfpfXJsUFD2,0.4,0.863,9,-5.468,1,0.042,0.0451,0.0,0.23,0.554,121.59,6
When You Come,7BbgvAq6lWBq7LtHRfb2Bs,0.559,0.52,2,-9.359,0,0.0281,0.0618,0.0835,0.0727,0.262,111.066,3
Fingers Of Love,2aqnoOoXXXFI5ssm3VUVAq,0.404,0.74,3,-7.273,1,0.0278,0.0083,0.000142,0.119,0.643,111.47,5
Distant Sun,5Ue5H44yO9NgNW8W33UQOa,0.59,0.812,10,-6.252,1,0.035,0.00609,3.36e-05,0.313,0.454,133.022,6
Don't Stop Now,0qUo0eG2KgHxwLoSeFgCQ8,0.519,0.592,4,-8.059,0,0.0348,0.479,0.0,0.058,0.762,86.402,3
Sister Madly,7vPmmmEw33unTI1jLh8pVQ,0.702,0.795,4,-6.915,0,0.0368,0.132,0.0,0.0391,0.73,116.216,3
Chocolate Cake,2xmrEqox5OE7tEFiNWxCxE,0.276,0.977,1,-3.734,0,0.102,0.000329,0.000448,0.371,0.439,116.867,6
Locked Out,2k0V5WeLvy0oQGb2MNSiuL,0.503,0.847,0,-6.714,1,0.0396,0.0128,1.1e-05,0.173,0.744,113.649,5
Never Be The Same,2BaHC8JckbLnJk8e3gC6LP,0.393,0.803,9,-6.851,1,0.0322,0.103,0.00126,0.141,0.432,100.831,6
Hole In The River,6QeMvQSxdPgx44k7fRM6LC,0.547,0.365,4,-11.34,1,0.0244,0.816,1.22e-05,0.106,0.292,93.802,0
Not The Girl You Think You Are,0dla0iF5hyvCDNWAdfMPdU,0.445,0.49,0,-8.807,1,0.0264,0.301,1.47e-06,0.0964,0.342,93.61,0
Better Be Home Soon,0LEUzCN8dK9DznygBaLBIh,0.48,0.948,9,-5.738,1,0.0509,0.083,0.0001,0.277,0.548,118.949,6
Mean To Me,6lfWLpRh36KNjl8UREKyNF,0.752,0.685,10,-7.035,1,0.0271,0.185,0.0,0.119,0.826,116.305,5
It's Only Natural,78pSiSnpvHmAozKB8TABWe,0.647,0.49,0,-9.004,0,0.0246,0.428,0.00184,0.103,0.558,102.573,3
Fall At Your Feet,7mp4bH7W6YOb5vZfnvyGSR,0.687,0.771,9,-12.355,0,0.0504,0.748,0.434,0.375,0.727,120.07,3
Private Universe,2MGvJioQ16wh273PbhI978,0.47,0.599,5,-6.136,1,0.0252,0.32,0.0,0.294,0.663,64.142,5
Pineapple Head,1dFay2tO2oYnT7HPr9MClS,0.732,0.834,8,-4.945,1,0.0272,0.147,0.0,0.133,0.968,117.066,5
She Called Up,0pkPPbblwQVD2Uh4xYiuF5,0.569,0.754,9,-5.797,0,0.0285,0.0267,9.32e-06,0.0884,0.796,108.974,3
I Feel Possessed,5yATkmFXG63oVmNJTJ9bWu,0.6,0.627,1,-7.561,1,0.0389,0.072,3.08e-05,0.112,0.63,106.14,5
Instinct,3hhzZ0hf4DVBDKc1AvKD2M,0.59,0.533,2,-9.295,1,0.0561,0.298,0.00471,0.0844,0.164,121.141,0
Everything Is Good For You,1x7rBnCHss7KXHwF7YXefO,0.375,0.515,4,-10.225,0,0.0269,0.497,0.000231,0.0703,0.271,84.811,0
Into Temptation,6q0uGSsUWMeJYyJE0A9JjI,0.574,0.564,0,-7.169,0,0.0244,0.0893,0.00187,0.34,0.785,90.026,3
Nails In My Feet,18L3JERRVEB3cMTZfJQcsL,0.419,0.514,5,-8.485,1,0.0256,0.642,0.00377,0.144,0.291,73.894,0
Pour Le Monde,2tUGNOf2bfJ2ig15AReH6o,0.6,0.786,5,-6.414,0,0.0297,0.404,0.00113,0.0717,0.565,99.79,3
