name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,4
Let Her Go,5rEvuW4YhwobKwGL1HPrXA,0.479,0.545,7,-7.346,1,0.0688,0.365,0.0,0.0963,0.244,74.897,0
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,68rcszAg5pbVaXVvR7LFNh,0.826,0.668,3,-6.329,0,0.0571,0.223,6.92e-05,0.167,0.534,118.99,3
Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,5
Counting Stars,2tpWsVSb9UEmDRxAl1zhX1,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.118,0.477,122.016,3
Get Up (Rattle) - Radio Edit,1UKdrdB8kt9N8SQ4nJNRnd,0.722,0.969,7,-5.511,1,0.0556,0.00617,1.78e-06,0.377,0.67,125.872,5
When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,0
Crazy Kids,1sNctqVr9zdS7i1RZNjIgY,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03,3
Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,0QlNv7zrkgYIccd7O3VzyT,0.723,0.844,10,-5.014,1,0.159,0.014,0.0,0.166,0.561,125.034,5
Impossible,5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,6
Trumpsta - Djuro Remix,5la4dy8Tc1M6X6BanOHZ2H,0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,2
Dear Darlin',0s0JMUkb2WCxIJsRB3G7Hd,0.512,0.828,11,-4.672,0,0.0454,0.00627,8.73e-06,0.119,0.34,124.021,3
Stay The Night - Featuring Hayley Williams Of Paramore,4bT2zLVv2T4GiK9q9KtI0v,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961,5
Fire Fly,2Wd1jxXCTPhDCy2GMPC9fB,0.673,0.887,11,-4.121,0,0.22,0.146,0.0,0.272,0.484,87.484,3
It's Alright - The Guvnor Mix,0hiUOCWNdPefjaEAjcJ8Cq,0.611,0.934,5,-4.767,0,0.0417,0.0201,0.0,0.12,0.391,129.941,3
My Generation - Stereo Version,4u9f8hqstB7iITDJNzKhQx,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,3
Bilder im Kopf,3AzVdNe7tCYbjjRzQyVLbN,0.7,0.829,0,-5.418,1,0.202,0.0823,0.0,0.323,0.892,90.048,5
Fiesta - Michael Mind Project Video Edit,2JQkq0krSQHMIiLURIum2j,0.544,0.923,6,-5.594,1,0.219,0.0159,0.0,0.336,0.779,128.326,4
Reload - Radio Edit,0GDVj31c8AxWXjWFzVFu0d,0.484,0.724,9,-4.633,0,0.0522,0.0736,0.0,0.0631,0.433,128.038,3
Turn All the Lights On (feat. Ne-Yo),7448rwdrtddS5irSvOgPA6,0.699,0.805,6,-3.05,0,0.0595,0.0383,0.0,0.502,0.722,127.009,1
Everybody - Radio Edit,0BOKPwDkzLW9cmdgPhaXiF,0.76,0.837,5,-2.782,0,0.118,0.11,1.59e-05,0.0615,0.701,127.967,3
Lila Wolken,2i7LYnvqSFfmimscnZqVLn,0.543,0.676,1,-6.433,1,0.053,0.185,0.0,0.301,0.167,143.885,6
Summer Jam - Video Edit,2fANKpHqnRTIOvaBVELpav,0.747,0.716,1,-5.152,0,0.0308,0.0828,7.59e-06,0.0773,0.849,128.001,3
This Is Nightlife - Video Edit,56Za7YLazuE3ILTBKzjtQT,0.642,0.784,11,-5.286,0,0.032,0.0271,3.03e-05,0.308,0.877,128.004,3
All The Time - Radio Version,78easkZAIVZuMHzagJSs7K,0.762,0.737,9,-3.904,1,0.169,0.0394,0.0,0.063,0.761,130.016,5
Single Ladies - Remady 2K13 Radio Edit,3sZC0ryk4Phfwo3ntz2auE,0.709,0.82,4,-3.03,0,0.0421,0.00698,0.0,0.296,0.765,128.015,3
Schönste Zeit,3z4ePZgAz36X90QSBT7dm1,0.672,0.84,8,-5.134,1,0.0336,0.11,0.0,0.202,0.61,120.973,5
Bangarang (feat. Sirah),6VRhkROS2SZHGlp0pxndbJ,0.716,0.972,7,-2.302,1,0.196,0.0145,3.22e-05,0.317,0.576,110.026,5
Sky Is the Limit,4ud18SPO5XiLlX8l2I1Ogm,0.692,0.712,9,-5.716,0,0.0483,0.0246,0.0,0.0716,0.503,127.98,3
Strand,6npdnHdsDdRs9wZPMV8kaB,0.653,0.545,6,-8.274,1,0.0475,0.0846,0.000265,0.155,0.465,128.968,5
Clarity,60wwxj6Dd9NJlirf84wr2c,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,6
C'Mon,4bO6IzKXMWhmncfIO9GBq2,0.558,0.781,1,-5.448,0,0.0963,0.00657,0.00144,0.102,0.286,126.025,3
Million Voices,3H2Fi9vc0vY61drCvFBa23,0.597,0.719,3,-7.272,1,0.0601,0.00504,0.153,0.0677,0.254,125.972,5
Ma Chérie - DJ Antoine & Mad Mark 2K12 Radio Edit,53N4dEwHT1D6xwebFQ8OtQ,0.749,0.589,8,-5.032,1,0.26,0.0279,0.000217,0.0396,0.814,128.003,4
